Case Number,Address,ZIP Code,Case Opened,Kiva PIN,Status of Case,Latitude,Longitude,Location
1234267,5700 E 103rd St,64137,01/27/2020,57872,Pre-Bid Process Ongoing,38.938902,-94.524363,"5700 E 103rd St
Kansas City, MO 64137
(38.938902, -94.524363)"
1240065,2912 E 23rd St,64127,06/03/2020,15515,Ongoing Case,39.08461,-94.547715,"2912 E 23rd St
Kansas City, MO 64127
(39.08461, -94.547715)"
1235013,5120 E 23rd St,64127,02/11/2020,17789,Pre-Bid Process Ongoing,39.083508,-94.522534,"5120 E 23rd St
Kansas City, MO 64127
(39.083508, -94.522534)"
1227001,6233 South Benton Ave,64130,08/23/2019,1200,Rehab By Owner In Progress,39.012823,-94.552321,"6233 South Benton Ave
Kansas City, MO 64130
(39.012823, -94.552321)"
1047820,7330 WAYNE AVE,64131,10/20/2010,114921,Rehab By Owner In Progress,38.993803,-94.568981,"7330 WAYNE AVE
Kansas City, MO 64131
(38.993803, -94.568981)"
1244369,6210 E 109th St,64134,08/11/2020,59567,Ongoing Case,38.927508,-94.517551,"6210 E 109th St
Kansas City, MO 64134
(38.927508, -94.517551)"
1241270,7744 E 55th St,64129,06/22/2020,51600,Ongoing Case,39.024646,-94.492558,"7744 E 55th St
Kansas City, MO 64129
(39.024646, -94.492558)"
1236344,2419 Bales Ave,64127,03/06/2020,17253,Ongoing Case,39.082023,-94.541379,"2419 Bales Ave
Kansas City, MO 64127
(39.082023, -94.541379)"
1222139,2317 E 50th St,64130,06/24/2019,138863,On Hold,39.035488,-94.557309,"2317 E 50th St
Kansas City, MO 64130
(39.035488, -94.557309)"
1233833,6132 N Topping Ave,64119,01/13/2020,89684,Pre-Bid Process Ongoing,39.205712,-94.512573,"6132 N Topping Ave
Kansas City, MO 64119
(39.205712, -94.512573)"
1215346,5909 Agnes Ave,64130,03/25/2019,1015,Pre-Bid Process Ongoing,39.0187,-94.550853,"5909 Agnes Ave
Kansas City, MO 64130
(39.0187, -94.550853)"
1232677,2404 Denver Ave,64127,12/09/2019,20402,On Hold,39.081437,-94.522588,"2404 Denver Ave
Kansas City, MO 64127
(39.081437, -94.522588)"
1236570,925 Grand Ave,64106,03/11/2020,12778,Ongoing Case,39.102745,-94.580375,"925 Grand Ave
Kansas City, MO 64106
(39.102745, -94.580375)"
1245635,540 Norton Ave,64124,09/03/2020,42360,Ongoing Case,39.106002,-94.534578,"540 Norton Ave
Kansas City, MO 64124
(39.106002, -94.534578)"
1236746,3400 Main,64111,03/16/2020,127813,Pre-Bid Process Ongoing,39.065039,-94.586031,"3400 Main
Kansas City, MO 64111
(39.065039, -94.586031)"
1232725,4405 Westridge Rd,64133,12/10/2019,48703,Rehab By Owner In Progress,39.041351,-94.438218,"4405 Westridge Rd
Kansas City, MO 64133
(39.041351, -94.438218)"
1236016,2521 Mersington Ave,64127,03/02/2020,17614,Pre-Bid Process Ongoing,39.07937,-94.536944,"2521 Mersington Ave
Kansas City, MO 64127
(39.07937, -94.536944)"
1047650,8900 Michigan Ave,64131,07/05/2011,150875,Rehab By Owner In Progress,38.965589,-94.566646,"8900 Michigan Ave
Kansas City, MO 64131
(38.965589, -94.566646)"
1246000,4218 Lawn Ave,64130,09/11/2020,31817,Ongoing Case,39.048091,-94.530037,"4218 Lawn Ave
Kansas City, MO 64130
(39.048091, -94.530037)"
1126409,2316 LAWNDALE AVE,64127,01/25/2013,20105,Rehab By Owner In Progress,39.082228,-94.516835,"2316 LAWNDALE AVE
Kansas City, MO 64127
(39.082228, -94.516835)"
1205795,2104 E 59th St,64130,08/24/2018,148082,Rehab By Owner In Progress,39.019715,-94.561021,"2104 E 59th St
Kansas City, MO 64130
(39.019715, -94.561021)"
1237816,3315 Cleveland Ave,64128,04/16/2020,26425,Ongoing Case,39.065101,-94.538901,"3315 Cleveland Ave
Kansas City, MO 64128
(39.065101, -94.538901)"
1211226,2640 Colorado Ave,64127,12/10/2018,20462,Notice to Proceed Issued (Demolition),39.076694,-94.52175,"2640 Colorado Ave
Kansas City, MO 64127
(39.076694, -94.52175)"
1235213,3627 Ditzler Ave,64133,02/18/2020,48207,Pre-Bid Process Ongoing,39.055949,-94.47143,"3627 Ditzler Ave
Kansas City, MO 64133
(39.055949, -94.47143)"
1243489,2840 White Ave,64129,07/28/2020,21271,Ongoing Case,39.073069,-94.513774,"2840 White Ave
Kansas City, MO 64129
(39.073069, -94.513774)"
1231830,8810 Hiawatha Rd,64114,11/18/2019,149945,Rehab By Owner In Progress,38.96851,-94.595054,"8810 Hiawatha Rd
Kansas City, MO 64114
(38.96851, -94.595054)"
1239474,5422 Norledge Ave,64123,06/01/2020,42460,Ongoing Case,39.116182,-94.517511,"5422 Norledge Ave
Kansas City, MO 64123
(39.116182, -94.517511)"
1225763,2408 E 69th Ter,64132,08/08/2019,114225,Ongoing Case,39.00108,-94.558208,"2408 E 69th Ter
Kansas City, MO 64132
(39.00108, -94.558208)"
1225703,1013 Benton Blvd,64127,08/08/2019,10935,Rehab By Owner In Progress,39.100658,-94.544106,"1013 Benton Blvd
Kansas City, MO 64127
(39.100658, -94.544106)"
1191520,5809 E 16th Ter,64126,09/24/2012,6495,Rehab By Owner In Progress,39.091002,-94.514313,"5809 E 16th Ter
Kansas City, MO 64126
(39.091002, -94.514313)"
1175132,1815 Paseo,64108,04/04/2017,13253,Rehab By Owner In Progress,39.090677,-94.564144,"1815 Paseo
Kansas City, MO 64108
(39.090677, -94.564144)"
1219589,1705 Walnut St,64108,05/21/2019,122742,Repair Case w/Enforcement,39.093109,-94.582102,"1705 Walnut St
Kansas City, MO 64108
(39.093109, -94.582102)"
1247179,9534 Charlotte St,64131,10/09/2020,152134,Ongoing Case,35.797519,-103.89058,"9534 Charlotte St
Kansas City, MO 64131
(35.797519, -103.89058)"
1239476,3215 Kensington Ave,64128,06/01/2020,23039,Ongoing Case,39.066484,-94.53195,"3215 Kensington Ave
Kansas City, MO 64128
(39.066484, -94.53195)"
1207811,2750 Indiana Ave,64128,09/21/2018,24410,Notice to Proceed Issued (Demolition),39.075012,-94.543744,"2750 Indiana Ave
Kansas City, MO 64128
(39.075012, -94.543744)"
1246678,11611 Kenwood Ave,64131,09/29/2020,156874,Ongoing Case,38.916391,-94.585808,"11611 Kenwood Ave
Kansas City, MO 64131
(38.916391, -94.585808)"
1189470,3301 Woodland Ave,64109,11/21/2017,126344,Rehab By Owner In Progress,39.066407,-94.561936,"3301 Woodland Ave
Kansas City, MO 64109
(39.066407, -94.561936)"
1103631,3028 Olive St,64109,11/27/2013,26834,Notice to Proceed Issued (Demolition),39.070698,-94.555458,"3028 Olive St
Kansas City, MO 64109
(39.070698, -94.555458)"
1236786,3810 E 28th Ter,64128,03/16/2020,23627,Notice to Proceed Issued (Asbestos Removal),39.074022,-94.538135,"3810 E 28th Ter
Kansas City, MO 64128
(39.074022, -94.538135)"
1235231,2716 Chelsea Ave,64128,02/18/2020,22108,Notice to Proceed Issued (Asbestos Removal),39.075581,-94.527637,"2716 Chelsea Ave
Kansas City, MO 64128
(39.075581, -94.527637)"
1246408,6726 Cleveland Ave,64132,09/21/2020,2201,Ongoing Case,39.003701,-94.54299,"6726 Cleveland Ave
Kansas City, MO 64132
(39.003701, -94.54299)"
1241121,5523 Highland Ave,64110,06/18/2020,146846,Demolition By Owner In Progress,39.026119,-94.565365,"5523 Highland Ave
Kansas City, MO 64110
(39.026119, -94.565365)"
1178412,5834 Indiana Ave,64130,05/23/2017,36792,Rehab By Owner In Progress,39.019844,-94.546684,"5834 Indiana Ave
Kansas City, MO 64130
(39.019844, -94.546684)"
1048091,522 DRURY AVE,64123,07/03/2008,45296,Repair Case w/Enforcement,39.106105,-94.518224,"522 DRURY AVE
Kansas City, MO 64123
(39.106105, -94.518224)"
1229241,801 Booth Ave,64125,09/25/2019,47118,Notice to Proceed Issued (Demolition),39.100658,-94.481706,"801 Booth Ave
Kansas City, MO 64125
(39.100658, -94.481706)"
1186467,2746 Brooklyn Ave,64109,09/19/2017,26685,Repair Case w/Enforcement,39.075595,-94.557553,"2746 Brooklyn Ave
Kansas City, MO 64109
(39.075595, -94.557553)"
1202483,5337 Euclid Ave,64130,07/09/2018,145750,Pre-Bid Process Ongoing,39.029017,-94.561678,"5337 Euclid Ave
Kansas City, MO 64130
(39.029017, -94.561678)"
1224948,1209 Van Brunt Blvd,64127,07/29/2019,9045,On Hold,39.09734,-94.522917,"1209 Van Brunt Blvd
Kansas City, MO 64127
(39.09734, -94.522917)"
1231282,5004 Walrond Ave,64130,11/01/2019,35344,Pre-Bid Process Ongoing,39.035089,-94.548049,"5004 Walrond Ave
Kansas City, MO 64130
(39.035089, -94.548049)"
1238241,5245 College Ave,64130,04/30/2020,35892,Ongoing Case,39.030104,-94.546533,"5245 College Ave
Kansas City, MO 64130
(39.030104, -94.546533)"
1091138,4411 E 17TH ST,64127,11/19/2013,18456,Notice to Proceed Issued (Demolition),39.09068,-94.530624,"4411 E 17TH ST
Kansas City, MO 64127
(39.09068, -94.530624)"
1241145,5222 Norton Ave,64130,06/18/2020,35493,Rehab By Owner In Progress,39.030534,-94.537943,"5222 Norton Ave
Kansas City, MO 64130
(39.030534, -94.537943)"
1169257,7909 E 118th Ter,64134,11/04/2016,73985,Rehab By Owner In Progress,38.907789,-94.500025,"7909 E 118th Ter
Kansas City, MO 64134
(38.907789, -94.500025)"
1215188,2617 E 28th St,64128,05/01/2019,24543,Pre-Bid Process Ongoing,39.074578,-94.551697,"2617 E 28th St
Kansas City, MO 64128
(39.074578, -94.551697)"
1193521,8802 E 8th St,64125,03/05/2018,47106,Rehab By Owner In Progress,39.100856,-94.479045,"8802 E 8th St
Kansas City, MO 64125
(39.100856, -94.479045)"
1243018,3623 E 58th Ter,64130,07/20/2020,37130,Ongoing Case,39.019612,-94.54329,"3623 E 58th Ter
Kansas City, MO 64130
(39.019612, -94.54329)"
1238978,3322 Brooklyn Ave,64109,05/19/2020,126330,Ongoing Case,39.065523,-94.558028,"3322 Brooklyn Ave
Kansas City, MO 64109
(39.065523, -94.558028)"
1171495,2605 Askew Ave,64127,01/12/2017,17358,Notice to Proceed Issued (Demolition),39.078246,-94.540684,"2605 Askew Ave
Kansas City, MO 64127
(39.078246, -94.540684)"
1214803,2212 E 40th St,64130,03/15/2019,136402,Notice to Proceed Issued (Asbestos Removal),39.053992,-94.557661,"2212 E 40th St
Kansas City, MO 64130
(39.053992, -94.557661)"
1236342,119 W 99th Ter,64114,03/06/2020,153721,Rehab By Owner In Progress,38.946908,-94.592735,"119 W 99th Ter
Kansas City, MO 64114
(38.946908, -94.592735)"
1235685,5607 E 30th Ter,64128,02/26/2020,22025,Pre-Bid Process Ongoing,39.06998,-94.517664,"5607 E 30th Ter
Kansas City, MO 64128
(39.06998, -94.517664)"
1085941,802 UTLEY AVE,64125,12/07/2012,47238,Repair Case w/Enforcement,39.100554,-94.482945,"802 UTLEY AVE
Kansas City, MO 64125
(39.100554, -94.482945)"
1234510,6212 E 12th St,64126,01/30/2020,6034,Pre-Bid Process Ongoing,39.097756,-94.509237,"6212 E 12th St
Kansas City, MO 64126
(39.097756, -94.509237)"
1240817,2415 Kensington Ave,64127,06/15/2020,19343,Pre-Bid Process Ongoing,39.081601,-94.531443,"2415 Kensington Ave
Kansas City, MO 64127
(39.081601, -94.531443)"
1231736,4900 Swope Parkway,64156,11/14/2019,35455,Notice to Proceed Issued (Demolition),39.036234,-94.544547,"4900 Swope Parkway
Kansas City, MO 64156
(39.036234, -94.544547)"
1195485,5311 NE 48th St,64117,05/19/2015,75480,Pre-Bid Process Ongoing,39.179976,-94.51737,"5311 NE 48th St
Kansas City, MO 64117
(39.179976, -94.51737)"
1227976,6202 E 9th St,64125,09/09/2019,5577,Rehab By Owner In Progress,39.101387,-94.509201,"6202 E 9th St
Kansas City, MO 64125
(39.101387, -94.509201)"
1166663,4442 South Benton Ave,64130,09/21/2016,34592,Rehab By Owner In Progress,39.044903,-94.551017,"4442 South Benton Ave
Kansas City, MO 64130
(39.044903, -94.551017)"
1239108,8703 Independence Ave,64125,05/21/2020,47187,Ongoing Case,39.103471,-94.480497,"8703 Independence Ave
Kansas City, MO 64125
(39.103471, -94.480497)"
1142271,8031 College Ave,64132,08/06/2015,4788,Rehab By Owner In Progress,38.980333,-94.549292,"8031 College Ave
Kansas City, MO 64132
(38.980333, -94.549292)"
7237366,3224 E 7th St,64124,04/02/2020,10402,Ongoing Case,39.10448,-94.542902,"3224 E 7th St
Kansas City, MO 64124
(39.10448, -94.542902)"
1196564,8109 Flora Ave,64131,04/27/2018,116507,Rehab By Owner In Progress,38.980586,-94.570115,"8109 Flora Ave
Kansas City, MO 64131
(38.980586, -94.570115)"
1224467,6633 E 12th Ter,64126,07/22/2019,6972,Ongoing Case,39.096288,-94.503782,"6633 E 12th Ter
Kansas City, MO 64126
(39.096288, -94.503782)"
1238442,1228 Benton Blvd,64127,05/07/2020,11032,Ongoing Case,39.097499,-94.544908,"1228 Benton Blvd
Kansas City, MO 64127
(39.097499, -94.544908)"
1242498,4215 E 60th St,64130,07/13/2020,326,Ongoing Case,39.016565,-94.536611,"4215 E 60th St
Kansas City, MO 64130
(39.016565, -94.536611)"
1228340,6843 Myrtle Ave,64132,09/12/2019,2170,Rehab By Owner In Progress,39.001096,-94.54025,"6843 Myrtle Ave
Kansas City, MO 64132
(39.001096, -94.54025)"
1242773,6422 College Ave,64132,07/16/2020,1432,Rehab By Owner In Progress,39.009472,-94.548502,"6422 College Ave
Kansas City, MO 64132
(39.009472, -94.548502)"
1232718,3518 Bellefontaine Ave,64128,12/10/2019,28570,Rehab By Owner In Progress,39.061675,-94.547885,"3518 Bellefontaine Ave
Kansas City, MO 64128
(39.061675, -94.547885)"
1198946,3015 Garfield Ave,64109,05/23/2018,26733,Pre-Bid Process Ongoing,39.07129,-94.558216,"3015 Garfield Ave
Kansas City, MO 64109
(39.07129, -94.558216)"
1204913,1012 Agnes Ave,64127,08/13/2018,10657,Rehab By Owner In Progress,39.100806,-94.547304,"1012 Agnes Ave
Kansas City, MO 64127
(39.100806, -94.547304)"
1246873,2219 Brooklyn Ave,64127,10/05/2020,13142,Ongoing Case,39.084927,-94.556396,"2219 Brooklyn Ave
Kansas City, MO 64127
(39.084927, -94.556396)"
1232665,1228 Winchester Ave,64126,12/09/2019,7007,Pre-Bid Process Ongoing,39.096026,-94.50122,"1228 Winchester Ave
Kansas City, MO 64126
(39.096026, -94.50122)"
1207242,4401 E 9th St,64127,09/14/2018,8298,Rehab By Owner In Progress,39.101573,-94.530094,"4401 E 9th St
Kansas City, MO 64127
(39.101573, -94.530094)"
1058005,5431 EUCLID AVE,64130,02/28/2012,145692,Repair Case w/Enforcement,39.027253,-94.561778,"5431 EUCLID AVE
Kansas City, MO 64130
(39.027253, -94.561778)"
1227370,1814 Vine St,64108,08/28/2019,13246,On Hold,39.090627,-94.563684,"1814 Vine St
Kansas City, MO 64108
(39.090627, -94.563684)"
1226573,1226 Agnes Ave,64127,08/19/2019,11210,Notice to Proceed Issued (Demolition),39.097667,-94.547472,"1226 Agnes Ave
Kansas City, MO 64127
(39.097667, -94.547472)"
1223289,4513 E 60th St,64130,07/11/2019,359,Rehab By Owner In Progress,39.016477,-94.533959,"4513 E 60th St
Kansas City, MO 64130
(39.016477, -94.533959)"
1243967,2508 Myrtle Ave,64127,08/06/2020,17646,Ongoing Case,39.079795,-94.536518,"2508 Myrtle Ave
Kansas City, MO 64127
(39.079795, -94.536518)"
1232663,117 Wheeling Ave,64123,12/09/2019,45915,Pre-Bid Process Ongoing,39.111444,-94.510309,"117 Wheeling Ave
Kansas City, MO 64123
(39.111444, -94.510309)"
1244799,3933 Vineyard Rd.,64130,08/19/2020,32092,Ongoing Case,39.05364,-94.525094,"3933 Vineyard Rd
Kansas City, MO 64130
(39.05364, -94.525094)"
1229922,2347 Lawndale Ave,64127,10/07/2019,20147,Pre-Bid Process Ongoing,39.081453,-94.516211,"2347 Lawndale Ave
Kansas City, MO 64127
(39.081453, -94.516211)"
1238271,4543 Chestnut Ave,64130,04/30/2020,34851,Ongoing Case,39.042939,-94.551668,"4543 Chestnut Ave
Kansas City, MO 64130
(39.042939, -94.551668)"
1217137,4306 Holmes St,64110,04/22/2019,139210,Pre-Bid Process Ongoing,39.04878,-94.57756,"4306 Holmes St
Kansas City, MO 64110
(39.04878, -94.57756)"
1245007,2319 Woodland Ave,64127,08/24/2020,14294,Ongoing Case,39.083921,-94.561078,"2319 Woodland Ave
Kansas City, MO 64127
(39.083921, -94.561078)"
1237804,5227 Highland Ave,64110,04/16/2020,146212,Ongoing Case,39.031374,-94.56506,"5227 Highland Ave
Kansas City, MO 64110
(39.031374, -94.56506)"
1188574,3735 Kensington Ave,64128,10/30/2017,31237,Rehab By Owner In Progress,35.797519,-103.89058,"3735 Kensington Ave
Kansas City, MO 64128
(35.797519, -103.89058)"
1229911,4117 E 11th St,64127,10/07/2019,10148,Rehab By Owner In Progress,39.099087,-94.533699,"4117 E 11th St
Kansas City, MO 64127
(39.099087, -94.533699)"
1236777,515 Jackson Ave,64124,03/16/2020,44325,Notice to Proceed Issued (Asbestos Removal),39.106962,-94.53265,"515 Jackson Ave
Kansas City, MO 64124
(39.106962, -94.53265)"
1237603,4522 Cypress Ave,64130,04/09/2020,33097,Ongoing Case,39.043067,-94.532639,"4522 Cypress Ave
Kansas City, MO 64130
(39.043067, -94.532639)"
1230094,2809 E 39th St,64130,10/10/2019,29682,Rehab By Owner In Progress,39.055142,-94.550775,"2809 E 39th St
Kansas City, MO 64130
(39.055142, -94.550775)"
1212955,700 E 85th St,64131,01/29/2019,121517,Pre-Bid Process Ongoing,38.974081,-94.580835,"700 E 85th St
Kansas City, MO 64131
(38.974081, -94.580835)"
1191382,1627 Spruce Ave,64127,03/30/2018,8554,Repair Case w/Enforcement,39.091674,-94.531942,"1627 Spruce Ave
Kansas City, MO 64127
(39.091674, -94.531942)"
1239405,4511 E 20th St,64127,05/29/2020,18558,Ongoing Case,39.087005,-94.529789,"4511 E 20th St
Kansas City, MO 64127
(39.087005, -94.529789)"
1216785,6676 NW Waukomis Dr,64151,04/17/2019,164639,Pre-Bid Process Ongoing,39.214893,-94.616002,"6676 NW Waukomis Dr
Kansas City, MO 64151
(39.214893, -94.616002)"
1235279,2636 Askew Ave,64127,02/19/2020,17402,Pre-Bid Process Ongoing,39.077201,-94.541311,"2636 Askew Ave
Kansas City, MO 64127
(39.077201, -94.541311)"
1188533,911 E Linwood Blvd,64109,10/27/2017,128145,On Hold,39.068367,-94.573526,"911 E Linwood Blvd
Kansas City, MO 64109
(39.068367, -94.573526)"
1206448,1311 Indiana Ave,64127,09/04/2018,11461,Ongoing Case,39.096737,-94.541959,"1311 Indiana Ave
Kansas City, MO 64127
(39.096737, -94.541959)"
1235161,13329 Walnut St,64145,02/14/2020,159691,Rehab By Owner In Progress,38.885463,-94.594174,"13329 Walnut St
Kansas City, MO 64145
(38.885463, -94.594174)"
1245445,1517 Winchester Ave,64126,08/31/2020,7274,Ongoing Case,39.092883,-94.500772,"1517 Winchester Ave
Kansas City, MO 64126
(39.092883, -94.500772)"
1160778,1609 E 79th St,64131,10/20/2017,116425,Pre-Bid Process Ongoing,38.98374,-94.568546,"1609 E 79th St
Kansas City, MO 64131
(38.98374, -94.568546)"
1070393,2613 Benton Blvd,64127,08/06/2012,16514,Demolition By Owner In Progress,39.078334,-94.548522,"2613 Benton Blvd
Kansas City, MO 64127
(39.078334, -94.548522)"
1245009,533 Oakley Ave,64123,08/24/2020,45357,Ongoing Case,39.105792,-94.5164,"533 Oakley Ave
Kansas City, MO 64123
(39.105792, -94.5164)"
1183932,6038 N Topping Ave,64119,08/11/2017,89692,Rehab By Owner In Progress,39.203638,-94.512526,"6038 N Topping Ave
Kansas City, MO 64119
(39.203638, -94.512526)"
1237632,5549 Wabash Ave,64130,04/09/2020,147645,Pre-Bid Process Ongoing,39.024927,-94.556114,"5549 Wabash Ave
Kansas City, MO 64130
(39.024927, -94.556114)"
1227630,3222 Troost Ave,64109,09/03/2019,128157,Rehab By Owner In Progress,39.067721,-94.571869,"3222 Troost Ave
Kansas City, MO 64109
(39.067721, -94.571869)"
1229160,4406 Woodland Ave,64110,09/24/2019,137674,Pre-Bid Process Ongoing,39.046533,-94.563707,"4406 Woodland Ave
Kansas City, MO 64110
(39.046533, -94.563707)"
1229918,711 Monroe Ave,64124,10/07/2019,9682,Pre-Bid Process Ongoing,39.10364,-94.538633,"711 Monroe Ave
Kansas City, MO 64124
(39.10364, -94.538633)"
1211992,3515 Euclid Ave,64109,12/31/2018,133999,Notice to Proceed Issued (Demolition),39.062272,-94.559826,"3515 Euclid Ave
Kansas City, MO 64109
(39.062272, -94.559826)"
